localidad,anio,estacion,ciclo_hidrologico,hora_dia,primary_category,promedio_clips_hora
12 DE ABRIL,2023,Summer,Creciente,13,Insect,31.5
12 DE ABRIL,2023,Summer,Creciente,13,Mammal,0.33
12 DE ABRIL,2023,Summer,Creciente,14,Anthropogenic,20.17
12 DE ABRIL,2023,Summer,Creciente,14,Bird,55.83
12 DE ABRIL,2023,Summer,Creciente,14,Insect,42.83
12 DE ABRIL,2023,Summer,Creciente,14,Mammal,0.17
12 DE ABRIL,2023,Summer,Creciente,15,Amphibian,0.17
12 DE ABRIL,2023,Summer,Creciente,15,Anthropogenic,22.0
12 DE ABRIL,2023,Summer,Creciente,15,Bird,43.0
12 DE ABRIL,2023,Summer,Creciente,15,Insect,56.33
12 DE ABRIL,2023,Summer,Creciente,15,Mammal,0.33
12 DE ABRIL,2023,Summer,Creciente,16,Amphibian,1.0
12 DE ABRIL,2023,Summer,Creciente,16,Anthropogenic,19.67
12 DE ABRIL,2023,Summer,Creciente,16,Bird,48.0
12 DE ABRIL,2023,Summer,Creciente,16,Insect,71.5
12 DE ABRIL,2023,Summer,Creciente,16,Mammal,0.17
12 DE ABRIL,2023,Summer,Creciente,17,Amphibian,3.5
12 DE ABRIL,2023,Summer,Creciente,17,Anthropogenic,27.17
12 DE ABRIL,2023,Summer,Creciente,17,Bird,55.33
12 DE ABRIL,2023,Summer,Creciente,17,Insect,67.17
12 DE ABRIL,2023,Summer,Creciente,18,Amphibian,19.0
12 DE ABRIL,2023,Summer,Creciente,18,Anthropogenic,26.83
12 DE ABRIL,2023,Summer,Creciente,18,Bird,15.0
12 DE ABRIL,2023,Summer,Creciente,18,Insect,97.67
12 DE ABRIL,2023,Summer,Creciente,19,Amphibian,2.83
12 DE ABRIL,2023,Summer,Creciente,19,Anthropogenic,8.67
12 DE ABRIL,2023,Summer,Creciente,19,Bird,0.17
12 DE ABRIL,2023,Summer,Creciente,19,Insect,134.33
12 DE ABRIL,2023,Summer,Creciente,20,Amphibian,15.5
12 DE ABRIL,2023,Summer,Creciente,20,Anthropogenic,32.67
12 DE ABRIL,2023,Summer,Creciente,20,Bird,0.17
12 DE ABRIL,2023,Summer,Creciente,20,Insect,94.33
12 DE ABRIL,2023,Summer,Creciente,21,Amphibian,33.83
12 DE ABRIL,2023,Summer,Creciente,21,Anthropogenic,32.0
12 DE ABRIL,2023,Summer,Creciente,21,Bird,0.33
12 DE ABRIL,2023,Summer,Creciente,21,Insect,72.83
12 DE ABRIL,2023,Summer,Creciente,22,Amphibian,46.0
12 DE ABRIL,2023,Summer,Creciente,22,Anthropogenic,25.17
12 DE ABRIL,2023,Summer,Creciente,22,Bird,7.0
12 DE ABRIL,2023,Summer,Creciente,22,Insect,53.5
12 DE ABRIL,2023,Summer,Creciente,23,Amphibian,30.33
12 DE ABRIL,2023,Summer,Creciente,23,Anthropogenic,32.83
