localidad,hora_dia,primary_category,promedio_clips_hora
QUISTOCOCHA,3,Bird,15.52
QUISTOCOCHA,3,Insect,74.3
QUISTOCOCHA,3,Mammal,1.3
QUISTOCOCHA,4,Amphibian,2.46
QUISTOCOCHA,4,Anthropogenic,17.3
QUISTOCOCHA,4,Bird,11.38
QUISTOCOCHA,4,Insect,77.63
QUISTOCOCHA,4,Mammal,0.55
QUISTOCOCHA,5,Amphibian,0.8
QUISTOCOCHA,5,Anthropogenic,19.43
QUISTOCOCHA,5,Bird,20.8
QUISTOCOCHA,5,Insect,77.66
QUISTOCOCHA,5,Mammal,1.11
QUISTOCOCHA,6,Amphibian,0.2
QUISTOCOCHA,6,Anthropogenic,20.32
QUISTOCOCHA,6,Bird,38.84
QUISTOCOCHA,6,Insect,41.71
QUISTOCOCHA,6,Mammal,0.52
QUISTOCOCHA,7,Amphibian,0.25
QUISTOCOCHA,7,Anthropogenic,27.96
QUISTOCOCHA,7,Bird,37.75
QUISTOCOCHA,7,Insect,36.89
QUISTOCOCHA,7,Mammal,0.86
QUISTOCOCHA,8,Amphibian,0.04
QUISTOCOCHA,8,Anthropogenic,22.55
QUISTOCOCHA,8,Bird,31.18
QUISTOCOCHA,8,Insect,26.68
QUISTOCOCHA,8,Mammal,0.64
QUISTOCOCHA,9,Amphibian,0.13
QUISTOCOCHA,9,Anthropogenic,28.7
QUISTOCOCHA,9,Bird,28.02
QUISTOCOCHA,9,Insect,19.11
QUISTOCOCHA,9,Mammal,0.75
QUISTOCOCHA,10,Amphibian,0.21
QUISTOCOCHA,10,Anthropogenic,25.57
QUISTOCOCHA,10,Bird,24.91
QUISTOCOCHA,10,Insect,14.52
QUISTOCOCHA,10,Mammal,0.61
QUISTOCOCHA,11,Amphibian,0.07
QUISTOCOCHA,11,Anthropogenic,28.68
QUISTOCOCHA,11,Bird,26.21
QUISTOCOCHA,11,Insect,13.55
QUISTOCOCHA,11,Mammal,0.63
QUISTOCOCHA,12,Amphibian,0.29
