localidad,ciclo_hidrologico,hora_dia,primary_category,promedio_clips_hora
12 DE ABRIL,Vaciante,17,Anthropogenic,55.09
12 DE ABRIL,Vaciante,17,Bird,32.83
12 DE ABRIL,Vaciante,17,Insect,164.7
12 DE ABRIL,Vaciante,17,Mammal,0.43
12 DE ABRIL,Vaciante,18,Amphibian,5.3
12 DE ABRIL,Vaciante,18,Anthropogenic,90.22
12 DE ABRIL,Vaciante,18,Bird,5.74
12 DE ABRIL,Vaciante,18,Insect,197.87
12 DE ABRIL,Vaciante,18,Mammal,0.13
12 DE ABRIL,Vaciante,19,Amphibian,27.96
12 DE ABRIL,Vaciante,19,Anthropogenic,60.04
12 DE ABRIL,Vaciante,19,Bird,0.78
12 DE ABRIL,Vaciante,19,Insect,191.57
12 DE ABRIL,Vaciante,20,Amphibian,34.83
12 DE ABRIL,Vaciante,20,Anthropogenic,63.3
12 DE ABRIL,Vaciante,20,Bird,2.26
12 DE ABRIL,Vaciante,20,Insect,154.04
12 DE ABRIL,Vaciante,20,Mammal,0.61
12 DE ABRIL,Vaciante,21,Amphibian,46.09
12 DE ABRIL,Vaciante,21,Anthropogenic,69.26
12 DE ABRIL,Vaciante,21,Bird,2.65
12 DE ABRIL,Vaciante,21,Insect,134.39
12 DE ABRIL,Vaciante,21,Mammal,0.78
12 DE ABRIL,Vaciante,22,Amphibian,42.57
12 DE ABRIL,Vaciante,22,Anthropogenic,63.13
12 DE ABRIL,Vaciante,22,Bird,3.22
12 DE ABRIL,Vaciante,22,Insect,138.09
12 DE ABRIL,Vaciante,22,Mammal,0.3
12 DE ABRIL,Vaciante,23,Amphibian,33.17
12 DE ABRIL,Vaciante,23,Anthropogenic,66.09
12 DE ABRIL,Vaciante,23,Bird,3.74
12 DE ABRIL,Vaciante,23,Insect,140.17
12 DE ABRIL,Vaciante,23,Mammal,0.39
PAUJIL,Creciente,0,Amphibian,6.73
PAUJIL,Creciente,0,Anthropogenic,20.21
PAUJIL,Creciente,0,Bird,4.55
PAUJIL,Creciente,0,Insect,136.12
PAUJIL,Creciente,0,Mammal,0.03
PAUJIL,Creciente,1,Amphibian,6.73
PAUJIL,Creciente,1,Anthropogenic,14.18
PAUJIL,Creciente,1,Bird,3.64
PAUJIL,Creciente,1,Insect,120.91
PAUJIL,Creciente,2,Amphibian,6.94
PAUJIL,Creciente,2,Anthropogenic,19.39
PAUJIL,Creciente,2,Bird,4.97
PAUJIL,Creciente,2,Insect,126.06
PAUJIL,Creciente,2,Mammal,0.15
PAUJIL,Creciente,3,Amphibian,8.97
PAUJIL,Creciente,3,Anthropogenic,14.42
PAUJIL,Creciente,3,Bird,39.76
PAUJIL,Creciente,3,Insect,99.15
PAUJIL,Creciente,4,Amphibian,4.67
PAUJIL,Creciente,4,Anthropogenic,14.94
PAUJIL,Creciente,4,Bird,37.03
PAUJIL,Creciente,4,Insect,98.12
PAUJIL,Creciente,5,Amphibian,4.73
PAUJIL,Creciente,5,Anthropogenic,16.58
PAUJIL,Creciente,5,Bird,40.67
PAUJIL,Creciente,5,Insect,82.97
PAUJIL,Creciente,5,Mammal,0.21
PAUJIL,Creciente,6,Amphibian,2.18
PAUJIL,Creciente,6,Anthropogenic,6.82
PAUJIL,Creciente,6,Bird,61.58
PAUJIL,Creciente,6,Insect,84.7
PAUJIL,Creciente,6,Mammal,0.27
PAUJIL,Creciente,7,Amphibian,2.67
PAUJIL,Creciente,7,Anthropogenic,8.18
PAUJIL,Creciente,7,Bird,63.88
PAUJIL,Creciente,7,Insect,86.42
PAUJIL,Creciente,7,Mammal,0.27
PAUJIL,Creciente,8,Amphibian,1.33
PAUJIL,Creciente,8,Anthropogenic,8.27
PAUJIL,Creciente,8,Bird,55.73
PAUJIL,Creciente,8,Insect,84.27
PAUJIL,Creciente,8,Mammal,0.12
PAUJIL,Creciente,9,Amphibian,1.03
PAUJIL,Creciente,9,Anthropogenic,10.76
PAUJIL,Creciente,9,Bird,57.39
PAUJIL,Creciente,9,Insect,66.67
PAUJIL,Creciente,9,Mammal,1.0
PAUJIL,Creciente,10,Amphibian,5.58
PAUJIL,Creciente,10,Anthropogenic,14.03
PAUJIL,Creciente,10,Bird,71.82
PAUJIL,Creciente,10,Insect,91.06
