localidad,ciclo_hidrologico,temporada_base,hora_dia,primary_category,promedio_clips_hora
12 DE ABRIL,Creciente,2024,23,Insect,7.87
12 DE ABRIL,Creciente,2024,23,Mammal,0.07
12 DE ABRIL,Vaciante,2023,0,Anthropogenic,92.86
12 DE ABRIL,Vaciante,2023,0,Bird,3.86
12 DE ABRIL,Vaciante,2023,0,Insect,165.0
12 DE ABRIL,Vaciante,2023,0,Mammal,0.29
12 DE ABRIL,Vaciante,2023,1,Amphibian,1.0
12 DE ABRIL,Vaciante,2023,1,Anthropogenic,77.43
12 DE ABRIL,Vaciante,2023,1,Bird,4.0
12 DE ABRIL,Vaciante,2023,1,Insect,175.0
12 DE ABRIL,Vaciante,2023,1,Mammal,1.0
12 DE ABRIL,Vaciante,2023,2,Amphibian,1.14
12 DE ABRIL,Vaciante,2023,2,Anthropogenic,59.43
12 DE ABRIL,Vaciante,2023,2,Bird,3.57
12 DE ABRIL,Vaciante,2023,2,Insect,169.29
12 DE ABRIL,Vaciante,2023,3,Amphibian,0.71
12 DE ABRIL,Vaciante,2023,3,Anthropogenic,72.71
12 DE ABRIL,Vaciante,2023,3,Bird,1.86
12 DE ABRIL,Vaciante,2023,3,Insect,164.86
12 DE ABRIL,Vaciante,2023,4,Amphibian,4.0
12 DE ABRIL,Vaciante,2023,4,Anthropogenic,65.71
12 DE ABRIL,Vaciante,2023,4,Bird,8.86
12 DE ABRIL,Vaciante,2023,4,Insect,182.29
12 DE ABRIL,Vaciante,2023,4,Mammal,0.14
12 DE ABRIL,Vaciante,2023,5,Amphibian,1.29
12 DE ABRIL,Vaciante,2023,5,Anthropogenic,31.71
12 DE ABRIL,Vaciante,2023,5,Bird,42.71
12 DE ABRIL,Vaciante,2023,5,Insect,177.71
12 DE ABRIL,Vaciante,2023,5,Mammal,0.71
12 DE ABRIL,Vaciante,2023,6,Amphibian,2.0
12 DE ABRIL,Vaciante,2023,6,Anthropogenic,34.43
12 DE ABRIL,Vaciante,2023,6,Bird,75.29
12 DE ABRIL,Vaciante,2023,6,Insect,153.86
12 DE ABRIL,Vaciante,2023,6,Mammal,1.43
12 DE ABRIL,Vaciante,2023,7,Amphibian,1.71
12 DE ABRIL,Vaciante,2023,7,Anthropogenic,45.29
12 DE ABRIL,Vaciante,2023,7,Bird,62.57
12 DE ABRIL,Vaciante,2023,7,Insect,137.43
12 DE ABRIL,Vaciante,2023,7,Mammal,0.14
12 DE ABRIL,Vaciante,2023,8,Amphibian,0.86
12 DE ABRIL,Vaciante,2023,8,Anthropogenic,48.29
12 DE ABRIL,Vaciante,2023,8,Bird,60.71
12 DE ABRIL,Vaciante,2023,8,Insect,133.14
12 DE ABRIL,Vaciante,2023,8,Mammal,0.14
12 DE ABRIL,Vaciante,2023,9,Amphibian,0.43
12 DE ABRIL,Vaciante,2023,9,Anthropogenic,42.71
12 DE ABRIL,Vaciante,2023,9,Bird,66.57
12 DE ABRIL,Vaciante,2023,9,Insect,111.29
12 DE ABRIL,Vaciante,2023,9,Mammal,0.43
12 DE ABRIL,Vaciante,2023,10,Amphibian,0.14
12 DE ABRIL,Vaciante,2023,10,Anthropogenic,45.43
12 DE ABRIL,Vaciante,2023,10,Bird,83.0
12 DE ABRIL,Vaciante,2023,10,Insect,98.86
12 DE ABRIL,Vaciante,2023,10,Mammal,0.86
12 DE ABRIL,Vaciante,2023,11,Amphibian,0.14
12 DE ABRIL,Vaciante,2023,11,Anthropogenic,42.14
12 DE ABRIL,Vaciante,2023,11,Bird,43.86
12 DE ABRIL,Vaciante,2023,11,Insect,61.43
12 DE ABRIL,Vaciante,2023,11,Mammal,0.86
12 DE ABRIL,Vaciante,2023,12,Amphibian,0.43
12 DE ABRIL,Vaciante,2023,12,Anthropogenic,42.43
12 DE ABRIL,Vaciante,2023,12,Bird,35.43
12 DE ABRIL,Vaciante,2023,12,Insect,37.0
12 DE ABRIL,Vaciante,2023,12,Mammal,1.14
12 DE ABRIL,Vaciante,2023,13,Amphibian,0.86
12 DE ABRIL,Vaciante,2023,13,Anthropogenic,33.0
12 DE ABRIL,Vaciante,2023,13,Bird,17.29
12 DE ABRIL,Vaciante,2023,13,Insect,48.71
12 DE ABRIL,Vaciante,2023,14,Amphibian,0.43
12 DE ABRIL,Vaciante,2023,14,Anthropogenic,36.0
12 DE ABRIL,Vaciante,2023,14,Bird,17.86
12 DE ABRIL,Vaciante,2023,14,Insect,71.0
12 DE ABRIL,Vaciante,2023,14,Mammal,0.14
12 DE ABRIL,Vaciante,2023,15,Amphibian,0.57
12 DE ABRIL,Vaciante,2023,15,Anthropogenic,49.57
12 DE ABRIL,Vaciante,2023,15,Bird,20.86
12 DE ABRIL,Vaciante,2023,15,Insect,106.71
12 DE ABRIL,Vaciante,2023,16,Amphibian,3.14
12 DE ABRIL,Vaciante,2023,16,Anthropogenic,46.0
12 DE ABRIL,Vaciante,2023,16,Bird,21.43
12 DE ABRIL,Vaciante,2023,16,Insect,138.86
12 DE ABRIL,Vaciante,2023,16,Mammal,0.14
12 DE ABRIL,Vaciante,2023,17,Amphibian,0.57
12 DE ABRIL,Vaciante,2023,17,Anthropogenic,65.43
12 DE ABRIL,Vaciante,2023,17,Bird,18.29
12 DE ABRIL,Vaciante,2023,17,Insect,153.29
12 DE ABRIL,Vaciante,2023,18,Amphibian,1.43
12 DE ABRIL,Vaciante,2023,18,Anthropogenic,67.71
12 DE ABRIL,Vaciante,2023,18,Bird,6.86
12 DE ABRIL,Vaciante,2023,18,Insect,179.86
12 DE ABRIL,Vaciante,2023,18,Mammal,0.43
12 DE ABRIL,Vaciante,2023,19,Amphibian,1.14
12 DE ABRIL,Vaciante,2023,19,Anthropogenic,85.29
12 DE ABRIL,Vaciante,2023,19,Bird,1.14
12 DE ABRIL,Vaciante,2023,19,Insect,195.29
12 DE ABRIL,Vaciante,2023,20,Amphibian,2.43
12 DE ABRIL,Vaciante,2023,20,Anthropogenic,120.0
12 DE ABRIL,Vaciante,2023,20,Bird,2.43
12 DE ABRIL,Vaciante,2023,20,Insect,160.14
12 DE ABRIL,Vaciante,2023,20,Mammal,2.0
12 DE ABRIL,Vaciante,2023,21,Amphibian,1.71
12 DE ABRIL,Vaciante,2023,21,Anthropogenic,120.86
12 DE ABRIL,Vaciante,2023,21,Bird,3.14
12 DE ABRIL,Vaciante,2023,21,Insect,161.29
12 DE ABRIL,Vaciante,2023,21,Mammal,2.57
12 DE ABRIL,Vaciante,2023,22,Amphibian,1.14
12 DE ABRIL,Vaciante,2023,22,Anthropogenic,99.43
